,demand,p1,p2,p3,p4,p5
0,10.0,78,5,25,55,51
1,10.0,26,42,75,48,77
2,10.0,67,17,45,71,10
3,10.0,12,94,97,74,13
4,10.0,9,9,22,83,81
5,10.0,35,2,43,4,5
6,10.0,37,43,35,48,90
7,10.0,51,67,79,31,69
8,10.0,15,55,50,87,80
9,10.0,24,15,92,95,7
10,10.0,42,19,23,63,76
11,10.0,53,45,35,51,61
12,10.0,74,98,58,94,54
13,10.0,41,43,38,52,34
14,10.0,22,86,39,6,89
15,10.0,88,89,72,12,78
16,10.0,15,44,38,38,2
17,10.0,70,25,48,61,17
18,10.0,90,90,76,14,35
19,10.0,18,44,91,96,1
20,10.0,2,28,88,50,45
21,10.0,64,51,38,82,11
22,10.0,93,61,44,96,97
23,10.0,25,56,38,51,25
24,10.0,79,39,90,9,72
25,10.0,62,2,21,41,42
26,10.0,72,3,73,94,8
27,10.0,72,40,91,1,30
28,10.0,27,37,64,40,91
29,10.0,19,53,1,19,18
30,10.0,84,42,70,80,27
31,10.0,5,64,55,26,95
32,10.0,65,10,60,36,96
33,10.0,52,65,75,52,36
34,10.0,97,80,23,44,10
35,10.0,46,21,71,40,27
36,10.0,98,79,43,52,54
37,10.0,88,50,90,87,65
38,10.0,58,7,65,12,11
39,10.0,76,53,47,4,98
40,10.0,79,5,60,50,76
41,10.0,59,4,20,10,59
42,10.0,89,36,7,6,98
43,10.0,85,43,69,57,29
44,10.0,3,31,78,58,27
45,10.0,50,97,65,40,87
46,10.0,31,24,87,22,45
47,10.0,45,87,11,45,19
48,10.0,72,90,56,37,5
49,10.0,40,10,65,54,75
50,10.0,62,96,15,71,69
51,10.0,62,96,68,26,29
52,10.0,88,88,72,23,20
53,10.0,6,1,7,89,9
54,10.0,21,57,54,83,38
55,10.0,5,28,98,82,15
56,10.0,33,55,35,41,55
57,10.0,65,52,89,3,67
58,10.0,50,65,71,83,70
59,10.0,14,19,71,69,16
60,10.0,30,75,44,35,51
61,10.0,95,26,19,85,45
62,10.0,59,3,8,78,3
63,10.0,41,6,47,50,37
64,10.0,71,6,32,69,75
65,10.0,58,16,36,98,6
66,10.0,55,31,58,84,88
67,10.0,78,66,92,46,70
68,10.0,1,57,90,59,91
69,10.0,92,54,53,69,84
70,10.0,74,80,72,5,20
71,10.0,23,31,95,38,62
72,10.0,34,72,59,91,2
73,10.0,53,36,62,38,27
74,10.0,42,96,28,64,13
75,10.0,63,98,31,29,24
76,10.0,26,57,85,37,7
77,10.0,67,71,34,6,89
78,10.0,73,36,65,53,58
