,demand,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,10.0,62,57,34,93,47,61,50,58,34,2
1,10.0,84,6,85,97,93,15,55,81,90,13
2,10.0,91,47,8,35,41,77,30,38,14,56
3,10.0,82,75,77,24,42,19,52,50,97,19
4,10.0,22,97,5,39,55,38,14,89,20,39
5,10.0,76,57,96,37,79,40,10,55,71,50
6,10.0,75,96,71,38,1,64,96,53,41,57
7,10.0,39,69,40,67,68,4,88,89,27,15
8,10.0,12,64,67,69,78,4,25,62,44,18
9,10.0,61,68,13,24,61,20,5,23,23,78
10,10.0,81,24,87,1,2,35,43,88,76,90
11,10.0,87,19,24,85,90,45,7,73,9,62
12,10.0,48,90,7,15,30,90,82,82,92,55
13,10.0,20,89,64,24,36,9,52,19,42,64
14,10.0,20,50,83,27,80,87,84,28,55,57
15,10.0,89,84,42,83,76,25,38,70,58,12
16,10.0,57,81,60,92,68,47,9,23,90,1
17,10.0,19,27,3,84,6,52,57,82,25,98
18,10.0,66,35,69,28,94,56,12,86,16,18
19,10.0,44,48,56,35,50,33,82,78,89,73
20,10.0,10,2,5,32,60,43,3,59,36,2
21,10.0,91,92,10,70,94,58,67,19,96,21
22,10.0,19,89,72,93,26,48,21,70,29,72
23,10.0,4,97,68,43,93,87,20,5,59,71
24,10.0,72,64,49,52,92,42,76,90,2,47
25,10.0,61,56,51,98,93,96,76,64,56,44
26,10.0,93,92,56,76,67,26,76,23,52,23
27,10.0,76,56,75,14,64,43,90,62,79,2
28,10.0,21,88,58,97,27,83,50,28,56,68
29,10.0,60,5,34,97,72,23,57,40,89,23
30,10.0,42,96,47,96,85,24,17,23,55,80
31,10.0,19,76,26,93,47,8,62,53,33,68
32,10.0,77,12,19,6,27,68,83,67,84,37
33,10.0,62,19,83,49,4,51,42,95,38,95
34,10.0,66,64,4,2,15,65,80,86,89,29
35,10.0,90,77,96,35,48,93,48,44,94,19
36,10.0,12,36,59,85,74,42,75,17,44,12
37,10.0,69,55,49,24,12,51,83,32,87,90
38,10.0,86,51,28,20,95,67,36,61,85,12
39,10.0,4,7,6,45,20,33,65,15,65,17
40,10.0,4,97,83,95,11,39,44,90,54,12
41,10.0,63,95,92,68,48,79,16,15,19,31
42,10.0,73,11,45,16,19,85,5,14,69,45
43,10.0,74,83,30,15,5,49,82,41,70,53
44,10.0,83,8,37,43,3,55,19,47,53,10
45,10.0,52,28,63,96,96,14,70,21,8,72
46,10.0,75,83,83,4,81,71,70,74,59,28
47,10.0,42,60,61,23,32,15,32,89,16,17
48,10.0,18,58,77,31,71,78,29,91,57,17
49,10.0,28,39,33,52,5,79,57,17,9,2
50,10.0,85,1,81,34,62,14,38,72,34,16
51,10.0,40,98,7,34,88,85,1,4,91,25
52,10.0,57,39,96,93,46,51,53,39,3,18
53,10.0,80,82,66,21,34,9,15,34,11,46
54,10.0,55,41,21,13,60,12,85,81,51,66
55,10.0,94,49,89,89,81,97,92,98,83,75
56,10.0,9,2,85,87,45,94,52,80,19,59
57,10.0,14,16,24,75,6,96,88,54,60,17
58,10.0,70,36,59,71,67,88,67,87,46,72
59,10.0,21,22,49,76,18,79,19,83,39,11
60,10.0,17,17,54,45,54,9,78,82,84,22
61,10.0,74,66,30,35,69,81,64,45,9,77
62,10.0,31,27,71,4,47,37,69,16,11,24
63,10.0,84,60,40,7,56,95,77,76,61,14
64,10.0,23,45,64,79,48,11,80,66,44,9
65,10.0,16,70,31,3,42,19,21,23,83,43
66,10.0,61,57,75,68,19,86,60,12,43,53
67,10.0,68,61,69,87,56,18,13,58,68,47
68,10.0,46,36,96,32,70,73,23,68,92,36
69,10.0,51,7,49,68,61,27,72,31,67,73
70,10.0,71,68,44,82,95,23,82,92,12,7
71,10.0,31,35,17,89,81,94,84,33,71,5
72,10.0,22,59,63,26,66,56,5,38,8,70
73,10.0,66,83,8,41,22,49,76,63,95,38
74,10.0,20,29,72,5,73,88,28,65,80,61
75,10.0,57,13,8,20,12,90,88,70,60,17
76,10.0,74,4,31,86,20,37,78,65,45,6
77,10.0,30,49,3,19,26,12,5,7,61,60
78,10.0,47,33,38,96,11,42,31,64,56,24
79,10.0,41,73,28,39,74,34,84,49,33,91
80,10.0,58,76,19,54,15,49,20,98,94,37
81,10.0,54,88,21,83,87,75,63,39,69,89
82,10.0,41,64,13,58,41,49,63,64,87,13
83,10.0,92,46,89,59,52,94,27,34,61,93
84,10.0,63,13,42,20,70,24,89,25,48,67
85,10.0,89,29,91,66,28,28,43,59,17,94
86,10.0,15,51,22,49,36,68,39,88,30,20
87,10.0,30,23,57,68,68,56,23,52,88,42
88,10.0,1,75,24,73,33,20,35,33,82,3
89,10.0,95,20,26,2,67,18,94,52,81,46
90,10.0,16,5,87,43,42,87,41,93,60,83
91,10.0,38,8,56,13,17,69,46,57,88,98
92,10.0,32,46,68,45,57,19,23,52,5,39
93,10.0,60,59,10,42,71,45,98,66,29,69
94,10.0,49,8,31,76,71,54,23,87,47,16
95,10.0,59,61,55,43,34,16,40,96,66,20
96,10.0,61,78,85,64,26,84,67,88,83,52
97,10.0,13,41,52,31,89,63,61,15,26,44
98,10.0,21,19,66,77,31,86,98,86,43,83
